Average_Mark,student_answer_en,reference_answer_en
0,A hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow$ at least on possible combination of dataset $A$ can be classified by the hypothesis $h \in H$ with zero training error.,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
2.5,HERE: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$ if the hypothesis can clearly distinguish the positive examples from the negative examples in A.,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
0,"A hypothesis h is model that separates a dataset consisting of {(xi , yi)} samples into positive and negative samples. h is said to shatter a given subset of a dataset if it can successfully separate at least one configuration of the subset of dataset.","For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
2.5,"A hypothesis space H shatters a dataset, if and only if there is a **possbile $\alpha$ (weight vector)** on hypothesis space that **seperates all the positvie data from negative data**.","For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
2.5,a hypothesis $h \in H$ shatters $A \subseteq X$ if and only if there exists a value of $\alpha$ for which the training error is zero,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
0,", if there exists a configuration of $X$, so that $h$ gets zero training error on any dichotomy of the datapoints.","For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
0,"there exist w weights, which produce a perfect classification.","For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
5,A variable that stores the address of another variable,A variable that contains the address in memory of another variable.
5,a variable with a memory address as the value,A variable that contains the address in memory of another variable.
0,If there exist atleast one configuration of A for which training error of h is zero. i.e. it successfully classifies all oints in A.,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
5,"A very large amount of constructors can be created for any given class through overloading.  When two constructors with a different type or number of parameters are created, they are said to be overloaded, and C++ can recognize which constructor to use based on the type of the variables that are passed/returned.",Unlimited number.
5,"A very large amount of constructors can be created for any given class through overloading.  When two constructors with a different type or number of parameters are created, they are said to be overloaded, and C++ can recognize which constructor to use based on the type of the variables that are passed/returned.",Unlimited number.
5,A waiting list of items that operation in a FIFO (first in first out) order.,"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out)."
0,"We say that a hypothesis h shatters a dataset A, iff the h produces a zero training error for certain data set A. In other words, we say that a hypothesis h shatters a dataset A, when h separates data A in two classes without erorr.","For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
5,"A way to store different values into the program, such as numbers, words, letters, etc.",A location in memory that can store a value.
5,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement before it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",The block inside a do...while statement will execute at least once.
2.5,Adaption of weight is proportional to product of input and error: $w{new} = w{old} + x*e$,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement before it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",The block inside a do...while statement will execute at least once.
2.5,"Widrow-Hoff learning rule is also known as error correction rule is used to update the weights as: $\Delta w = \eta (di-yi)xi$ where, d is the desired output and y is the output the network generates and x is the input.",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
2.5,$w(n+1) = w(n) + \mu (d(n) - y(n))x(n)$ The change of the weights is determined using the error ($d(n) - y(n)$) and the input that was given to the network. The learning rate can improve learing speed. The new weights are dependent on the old ones and the change calculated,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",The block inside a do...while statement will execute at least once.
5,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",The block inside a do...while statement will execute at least once.
5,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,The block inside a do...while statement will execute at least once.
0,"Windrow-Hoff rule is $$W{new}=x{input}*W{old}*(d{output}-y{output})*eta*a $$ where $W{new}=new weight,W{old}=old weight,d{output}=desired output,y{output}=actual output,x{input}=input, eta=learning rate, a=learning constant$",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
2.5,The Widrow-Holf or delta rule is a gradient descent learning rule used to adapt weight in a perceptron. $\Delta w(n) = - \eta(d(n) - y(n))x(n) $ $\Delta w(n) = - \eta e(n)x(n) $,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
2.5,"The widrow-Hoff (delta) learning rule is given by $$ w(n+1) = w(n) - \eta x(n) e(n)$$ where $e(n)$ is the error vector, $\eta$ is learning parameter, $x(n)$ is input vector.",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
2.5,"The Widrow-Hoff Learning rule is also referred to as Delta, or Least Mean Square (LMS) Rule. It is used to minimize the cost function and is defined as follows: Delta wji(n) = eta (partial xi(n) / (partial wji(n)) where eta is the learning rate paramter, xi(n) is the total instantaneous error energy and w are the weights.",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,The block inside a do...while statement will execute at least once.
2.5,Widrow hoff's learning rule states that the adjustment of the weight of a synapses are propotional to the product of the error function and the input which is given by the synapses based on the problem.,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,A while statement tests the condition before it can start. A do...while statement loops through once before the condition is tested.,The block inside a do...while statement will execute at least once.
2.5,"HERE: Widrow- Hoff rule: - $\Delta w$ = $\eta e(n) x(n)$ - Widrow-Hoff rule states that when an input x(n) produces an error e(n), then the change in the weight is directly proportional to the error signal and the input signal.",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,A while statement tests the condition before it can start. A do...while statement loops through once before the condition is tested.,The block inside a do...while statement will execute at least once.
5,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",The block inside a do...while statement will execute at least once.
2.5,The Widrow-Hoff learning rule is given by $$w(n + 1) = w(n) + \eta e(n) x(n)$$ where $w(n)$: Weight in iteration n $e(n) = d(n) - y(n)$: Error $d(n)$: Desired output $y(n)$: Actual output $x(n$: Input $\eta$: Learning rate,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",The block inside a do...while statement will execute at least once.
5,"A while statement will test the condition of the while loop FIRST - there is a chance the loop will never run. A do...while loop will ALWAYS run once, and then the while test will determine if it will run again.",The block inside a do...while statement will execute at least once.
2.5,Windrow-Hoff or error correction learning rule says that the adjustment of a weight is proportional to the product of the error signal and the input signal of the weight.,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"A while statement will test the condition of the while loop FIRST - there is a chance the loop will never run. A do...while loop will ALWAYS run once, and then the while test will determine if it will run again.",The block inside a do...while statement will execute at least once.
2.5,Widrow-Hoff learning rule: The rules states that the weight update is directly proportional to the product of the input to the neuron and the error. $\Delta w{ij} = \eta e(n) \sum xi(n)$,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
2.5,delta $ w{kj} = \eta ek . xj $ Widrow hoff rules states that the change in synaptic weight is proportional to the product of the error signal and the input signal,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,a[i] = *(a+i),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
2.5,The Widrow-Hoff rule is used in error-correction learning and uses the current error and output of the system to determine the new weights. $w(n+1) = w(n)+\eta \cdot e(n) \cdot y(n) $,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"Access to a computer security system without permission (unlegal), detection of damage or gap in a public way rather than in a private way, because that would entail exploiting black hats for such opportunities.","Breaking into a security system without permission, revealing security flaws in programs or on websites in general rather than exposing the imbalance in particular to the institution and giving it time to repair it, which gives it an opportunity to be exploited by black hats pirates."
5,"Access to a particular element is very fast, because its location in memory can be determined mathematically and accessed directly.","The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal)."
5,Adding a new item and removing the item,push and pop
5,"After hacking into a system, the hacker provides a complete report on how it has reached the institution that hired it. This results in the institution &apos; s work to fill the gaps in its security system and to strengthen and improve it in order to protect it from dangers.","Reports to the Organization of how the system is hacked, allowing the Organization to improve its defences and improve security, security gaps that allow the developer to correct its product and improve its safety before it is breached."
0,This the basicly the calulating mean squared error (MSE) from the expected output and real output. Modifiying the weights for Minimizing MSE it .,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"After loading the required include statements and libraries, the main method begins the execution.",At the main function.
5,"After loading the required include statements and libraries, the main method begins the execution.",At the main function.
5,"After their commission, they need expertise that is difficult for a traditional investigator to detect, relying on deception in their commission and misleading knowledge of the perpetrators, relying on the highest intelligence in their commission.","You don't have a trace of it after it's committed, you need expertise and it's hard for a traditional investigator to deal with it, you rely on deception in its commission, and you misidentify the perpetrators, you rely on the highest intelligence."
2.5,"In backpropagation, the gradient of the error produced at the output layer (by partially differentiating the cost function with respect to the weights) is propogated backwards one layer at a time back to the input layer. This propagated gradient is used to update the weights in the corresponding layer. Backpropagation is necessary because the desired output at every layer is not known and it is only possible to formulate the cost function at the output layer.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,"In back propagation, there are two phases: 1. Forward Phase: First we apply input to the network and compute the current output. 2. Backward Phase: We compute the error between current and desired output. Error is minimized by computing gradient of error with respect to weight. In return, weights are adjust. After adjusting weights in backward phase, we again go to forward phase and compute the current output, check whether error is minimized or not.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,Back propagation wants to minimize the error function E. E is given by: \( $ \frac{1}{2}\sum e(n)^{2}$ \). THe error function can be minimized by calculating the gradient starting from the output. Term for calculating the gradient differs. It depends on whether the neuron for which the gradient to be calculated is an output neuron or a hidden neuron.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,"All the resources used are protected and secure in the processing of information where the facility secures and secures its personnel, the computers used in it and the information media that contain the facility &apos; s data. This is all the phases of the information &apos; s existence (storage, transport, processing).","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.5,Back propagation is propagation of error from the output layer to the hidden layer in network with multiple layers. This is done by calculating the local gradient of each node and then using this (along with the weight) to determine how much of the error is to be propagated to the particular node,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,"Allocate an array of some size. The bottom stack element is stored at some element. Last index in the array is the top. Increment top when one element is pushed, decrement after pop. ","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array."
5,An ADT whose first inserted item is the first item removed. This uses the FIFO idea where items enter a queue at its back and leave at its front.,"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out)."
5,"An ADT whose most recently inserted item is the first item removed or retrieved. This property is called last in, first out (LIFO). Items enter and leave a stack at its top.","A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)"
2.5,"The back propagation algorithm is a learning algorithm for updating in the weights in a multi-layer neural network. For updating the weights of all the layers, the error of each neuron must be calculated. In the back propagation algorithm, two phases will be defined: - Forward phase: the output of the neural network will be calculated and also the error of the neurons in the output layer. - Backward phase: the gradient of each neuron will be calculated, by using the calculated error on the output layer and the defined connections between the hidden layer and the output layer. If multiple hidden layers are defined, the error will be iteratevely will be given backwards and the weights at each neuron will be updated.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,An array can be addressed in pointer/offset notation by setting a pointer variable equal to the variable name of the array. Elements of the array can then be accessed by adding an offset value to the pointer variable.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
2.5,"Back propagation consists of two steps: 1. forward pass - data is passed through the network and weights are atapted 2. backward pass - by using local field of each neuron error signal is propagated backward by using local field of each neuron from end to beginning and stacking them up. Local field is partial derivative of the output signal of a a neuron, for output neuron it is simplest to calculate as it has only desired output and actual output to deal with.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,"Backpropagation is a learning algorithm in multi layer networks that consists of two phases, a forward pass and a backward pass. In the forward pass, the output is calculated by passing activations layer through layer starting from the input, then through hidden layer and finally output. Then the error is calculated in the output layer and propagated backward through the network. In the forward pass, the weight do not change. In the backward pass, the weights change in proportion to the local gradient.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,"Backpropagation is a neural network based learning algorithm where the network learns by propagating the error through the network. BP consists of two stages: + Forward pass: where the error is computed by feeding the input to the network. + Backward pass: where error is propagated through the network for doing the weight updates locally. Since BP has vanishing gradient problem, it is useful to use activation functions which are infinitely differentiable such as sigmoid function.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,An array has a fixed size.  You can add and delete elements to the end of the array and you use a pointer to keep track of the last element added.  Each time you add or delete an element you update the pointer and check if it is equal to the max size of the array.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array."
5,"An array is capable of accessing any part of that array based on the index. The link list must be traversed from the beginning or the end, that is, data can only be accessed if it is adjacent to the previous or next nodes.","The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal)."
2.5,"Back propogation usually occurs in a multi layer perceptron. It uses a non linear activation function. Basic elements: 1. Functional signals: These are the input signals, which passes through the network from left to right. As the name denotes it performs a usefull function at the output of the neuron and another reason for the name is that the functional signals are calculated based on the parameters and the activation function. 2. Error signals: Error signals propogate usually in the reverse direction which contains the error based on the desired output. It consists of 2 phases: 1. Forward phase: In the forward phase the signals propogate from left to right. Weights are fixed and passes through all the layers of the network, that is undergo all the activation. 2. Reverse phase: In the reverse phase, the local gradients are calcualted and are propogated through in the backward direction. Here weights change.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,Backpropogation is used for training multi layer networks. It constitutes of forward pass and backward pass. In forward pass network computes the output. Based on this the errors are calculated based on difference between network output and desired output. These errors are the backpropogated to network during backward pass and used for adjusting the synaptic weights.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,"an array of characters has one more element, its last element,the terminating element, or null, which doesnt exist in a variable of type string",The char[] will automatically add a null \0 character at the end of the string.
5,an array of characters stores a null character at the end,The char[] will automatically add a null \0 character at the end of the string.
5,"An artificial neural network consists of neurons, which are small computation devices,and synapses, the connections between the neurons. This resembles the brain because it also has neurons and synapses. Also a artificial neural network has weights, which are used to store learned features from the environment. Like the brain a neural network learns from the environment. An artificial neural network also has an activation function, which creates the output.","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge."
2.5,Back propagation is moving the error backwards recursively through the network by calculating the local field of every neuron to update the weights. It is based on the chaining rule of derivatives.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,An artificial neural network is a massively distributed parallel processor made of simple processing units. It has natural propensity to store experential knowledge and it makes the knowledge available for further use. An artificial neural network uses inter neuron connections called synaptic weights to store the knowledge acquired knowledge which is very similar to how human brain works.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge."
5,An artificial neural network is a massively distributed parallel processor made up of simple processing units that have the natural propensity for storing experiental knowledge and making it available for future use. It resembles the brain in the following ways: 1. Artificial neural networks have the ability to acquire knowledge from the environment in which they are are embedded. 2. Inter-neuron connection strenghts called synaptic links activate each neuron during the learning process.,"A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge."
2.5,Back-propagation algorithm consists of two passes:<br> 1. Forward pass: the input vector is applied to the network layer by layer 2. Backward pass: the weight is adjusted based on error correction learning rule. <br> <br> Back propagation uses error correction learning rule and the objective is to minimize the average of squared error.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,"An Artificial Neural Network is a massively parallel distributed processor which interacts with its surrounding environment, with a propensity to store knowledge and make it available to use. It resembles the brain in two aspects: 1. It has the ability to learn from its environment 2. The knowledge is stored in synaptic weights","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge."
2.5,"Backpropogation has 2 steps. Forward pass: In forward pass the data is run through the network and the error is calculated. Backward pass: In Backward pass the weight is adjusted using local gradient of error such that the error is minimized. There are many ways for weight adjustment like, steepest descent, Newtons method, Gauss newton method.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,The back propagation is a learning method in neural networks. Back propagation enables the feed forward netwowrk to represent XOR gate. It has two phases: forward pass: the initial weights are used to calculate the value of the output neuron backward pass: starts from the output layer and travels backward. During this phase the weights are changed based on the local gradients of each neuron|,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,An element b[3] can be referenced by using *( bPtr + 3) instead.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
2.5,"Backpropagation is used in Multilayer Perceptrons to give a method of adapting the weights. First the forward phase is run like in a regular feedforward network. Then after the output and thus the error is determined the error is backpropagated from ouput layer through the network. Since we have multiple layers, there is only a desired output of the network for the last layer. To counteract this problem a gradient is calculated for every neuron during the backward pass. The gradient is giving a measure of the contribution of this neuron to the final error. The gradient is then used to update the neurons weights. If the neuron is not part of the output layer, the previous gradients are used to calculate the new gradient instead of using the error.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,an element in a tree that has no children,A node that has no children.
5,An element that references a memory cell,A variable that contains the address in memory of another variable.
2.5,back propagation is used in multilayer feedforward networks. first the forward pass is computed. The given error at the output nodes is used to compute the weight changes using widrow-hoff learning rule. then the error is given back layer by layer in the backward pass to compute the error and weight changing for each layer recursivly. The learning can be done in sequential (online) or batch mode (offline),Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,"An ESN is a recurrent ANN with randome, sparse and fixed interneuron connections in the hidden layers. Just the output layer weights get trained, because the network itself is so complex, it can model very much. If the training was not successful we can just create a new randome ESN. Training an complete ESN would by very complex and would take very very very long. A FF NN is not recurrent (no feedback) and all its weights get trained and most of the time the interneuron connections are not sparsly.",Echo State Network is a type of Recurrent Neural Network and has at least one cyclic (feedback) connection. Only the weights of the output layers are updated while learning. ESN consists of feedback connections while a FF NN does not. ESN can approximate dynamic systems while FF NN cannot.  
2.5,In steepest gradient weights are adjusted in decreasing direction of error function. But for hidden neurons there is no labels available to calculate the error. Hence final ouput error is backpropogated through the layers inside the hidden layers of NN. This is possible with continuous activation function and chain rule on its derivatives. Final error is differentiated with respect to hidden weights. Chain rule is applied to find local error on hidden neurons.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,the back propagation algorithm it consist of forward pass and backward pass computes the output of the neuron then it propagates in backward direction while recursively compute local gradient of the neuron weights are adjusted accordingle.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,"Back Propagation is the process of learning in Multi Layer Perceptron in which the error from, the output of the network is fed back into the network to adjust the weights in the hidden layer. That is the error back prpagates into the network to enable the network to learn by adjusting the synaptic weights based on it.",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
2.5,* Back propagation is a process to make adjustment to the weights of a neural network in a way that minimizes the average squared error of the training data. * It uses steepest decent method. In each step it moves towards the direction that gives maximum decrease of the error. * In back propagation the error is propaged backward from the last layer towards the earlier layers. The adjustments made to the weights is proportional to the partial derivative of the error with respect to the weight. * The partial derivative is calculated using repeated application of the chain rule.,Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.
5,An ESN is a recurrent neural network with many layers and fixed weights. There are several differences. An ESN has a cycle that means witin the network there are backwarded connections. Withn a FF NN there are only feedforwad connections. Within a FF NN all weights are trained. Within an ESN only output weights are trained. An ESN can produce an output without any input. A FF NN needs an input to produce an output.,Echo State Network is a type of Recurrent Neural Network and has at least one cyclic (feedback) connection. Only the weights of the output layers are updated while learning. ESN consists of feedback connections while a FF NN does not. ESN can approximate dynamic systems while FF NN cannot.  
5,"An Euler traversal is a traversal that begins with the root, and travels around the outside of the tree.  Each element in the tree is visited 3 times.  From the left, from the bottom and from the right.","A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right."
2.5,"If learning rate is very smaller, then transition are over-damping, trajectory of weight vector follows the smooth path. If learning rate is large, then transition are under-damping, trajectory of weight vector exhibits the zigzagging(or oscillatory) behavior If learning gets higher than some threshold, then learning algorithm gets unstable or diverges","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. "
2.5,Learning rate n determines stride of delta of weight. If learning rate is too large weights starts to ziggerate.,"Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. "
2.5,The learning rate defines the speed of the weight change. A learning rate too high can lead to oscillation around the optimal weight such that its never reached. A learning rate to low results in very slow learning and slow convergence.,"Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. "
2.5,"If learning rate is to large, then proccess will oscillate a lot and might not converge. If learning rate is to small, then convergance will happen very slowly","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. "
5,"an object that points to a specific place in memory, where a variable or value is stored.",The address of a location in memory.
5,An object with a location in memory where value can be stored,A location in memory that can store a value.
5,an ordered list that performs task in the order of first in first out. adding items to the queue places items behind the rest of them. taking items off the queue takes the one that has waited the longest.,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.
5,"An RBF network relies on a clustering algorithm. This can be e.g. k-means clustering. The three items to be learned: 1. Cluster center 2. Cluster size 3. weights connecting the hidden nodes to the output layer Difference to other NNs: - only three layers: input, hidden and output - each node in the hidden layer uses a different activation function depended on the cluster assigned to it - only output weights are trained","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  "
5,"An SVM is a binary, linear classifier spanning a seperating hyperplane between two classes of datapoints. The hyperplane is spanned between both the positive and negative decision boundaries, and supported by a number of support vectors. Support vectors are the outermost datapoints which span the hyperplane. During training, the distance of falsely classified data points to their correct side of the hyperplane is minimized, utilizing a quadratic programming formulation.",SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. 
5,and there exist a linear saperater which saperates positve examples from the negavtive examples correctly. then we say that A can be shatter at h.,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A."
5,"ANN is a learning machine which can perform complex parallel computation. It has the ability to learn through the interactions withthe environment and store the learned knowedge. It resembles the human brain in performing complex learning tasks, acquiring information, apadpting to the environment, and exploiting the acquired information.","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge."
